2559	1536	0	2380	1452	126
2815	1536	0	2579	1460	130
3071	1536	0	2785	1467	134
3327	1536	0	2994	1475	137
3583	1536	0	3203	1482	141
3839	1536	0	3411	1489	144
4095	1536	0	3616	1497	146
0	1792	0	311	1612	105
256	1792	0	524	1620	108
512	1792	0	731	1626	112
768	1792	0	940	1634	116
1024	1792	0	1146	1642	120
1280	1792	0	1356	1650	123
1536	1792	0	1565	1657	127
1792	1792	0	1774	1665	130
2048	1792	0	1982	1672	134
2303	1792	0	2208	1679	137
2559	1792	0	2422	1686	141
2815	1792	0	2622	1694	145
3071	1792	0	2830	1702	148
3327	1792	0	3036	1709	152
3583	1792	0	3248	1716	155
3839	1792	0	3454	1723	159
4095	1792	0	3660	1730	160
0	2048	0	356	1844	120
256	2048	0	567	1851	123
512	2048	0	776	1858	128
768	2048	0	983	1865	131
1024	2048	0	1190	1873	135
1280	2048	0	1400	1881	138
1536	2048	0	1609	1889	141
1792	2048	0	1817	1895	145
2048	2048	0	2026	1903	148
2303	2048	0	2257	1911	152
2559	2048	0	2463	1918	156
2815	2048	0	2666	1925	159
3071	2048	0	2873	1933	163
3327	2048	0	3081	1941	166
3583	2048	0	3292	1948	169
3839	2048	0	3498	1956	173
4095	2048	0	3704	1964	175
0	2303	0	400	2081	135
256	2303	0	611	2088	138
512	2303	0	820	2096	142
768	2303	0	1028	2104	145
1024	2303	0	1234	2112	149
1280	2303	0	1445	2119	152
1536	2303	0	1653	2127	156
1792	2303	0	1863	2134	159
2048	2303	0	2075	2141	164
2303	2303	0	2307	2149	167
2559	2303	0	2506	2157	170
2815	2303	0	2710	2164	174
3071	2303	0	2918	2172	177
3327	2303	0	3126	2180	180
3583	2303	0	3337	2188	183
3839	2303	0	3541	2195	188
4095	2303	0	3749	2203	188
0	2559	0	445	2322	149
256	2559	0	655	2330	153
512	2559	0	865	2337	156
768	2559	0	1071	2345	160
1024	2559	0	1278	2354	164
1280	2559	0	1489	2361	167
1536	2559	0	1698	2369	171
1792	2559	0	1907	2377	174
2048	2559	0	2125	2385	178
2303	2559	0	2350	2391	181
2559	2559	0	2548	2399	185
2815	2559	0	2755	2407	188
3071	2559	0	2962	2413	191
3327	2559	0	3172	2421	195
3583	2559	0	3381	2428	199
3839	2559	0	3585	2436	199
4095	2559	0	3792	2441	202
0	2815	0	489	2552	164
256	2815	0	699	2559	167
512	2815	0	907	2567	171
768	2815	0	1114	2573	174
1024	2815	0	1322	2581	178
1280	2815	0	1532	2588	181
1536	2815	0	1741	2595	185
1792	2815	0	1950	2603	189
2048	2815	0	2172	2611	192
2303	2815	0	2390	2618	195
2559	2815	0	2589	2625	199
2815	2815	0	2796	2632	202
3071	2815	0	3005	2638	205
3327	2815	0	3215	2645	210
3583	2815	0	3423	2652	213
3839	2815	0	3628	2660	212
4095	2815	0	3834	2667	217
0	3071	0	534	2780	178
256	3071	0	742	2787	181
512	3071	0	951	2795	185
768	3071	0	1158	2803	188
1024	3071	0	1368	2809	192
1280	3071	0	1576	2818	196
1536	3071	0	1784	2826	200
1792	3071	0	1992	2832	203
2048	3071	0	2222	2839	207
2303	3071	0	2432	2847	210
2559	3071	0	2634	2856	213
2815	3071	0	2840	2862	217
3071	3071	0	3048	2869	221
3327	3071	0	3260	2876	223
3583	3071	0	3466	2882	227
3839	3071	0	3673	2890	227
4095	3071	0	3877	2897	229
0	3327	0	577	3011	192
256	3327	0	787	3018	196
512	3327	0	994	3026	199
768	3327	0	1207	3033	203
1024	3327	0	1415	3041	207
1280	3327	0	1621	3047	210
1536	3327	0	1829	3056	214
1792	3327	0	2038	3063	217
2048	3327	0	2271	3069	221
2303	3327	0	2474	3078	224
2559	3327	0	2677	3085	227
2815	3327	0	2885	3092	231
3071	3327	0	3092	3099	234
3327	3327	0	3303	3105	238
3583	3327	0	3510	3112	240
3839	3327	0	3716	3119	240
4095	3327	0	3919	3126	244
0	3583	0	621	3239	207
256	3583	0	830	3246	210
512	3583	0	1039	3253	213
768	3583	0	1248	3260	217
1024	3583	0	1457	3268	221
1280	3583	0	1664	3275	224
1536	3583	0	1873	3282	227
1792	3583	0	2087	3289	230
2048	3583	0	2320	3296	234
2303	3583	0	2516	3303	238
2559	3583	0	2721	3310	241
2815	3583	0	2929	3317	244
3071	3583	0	3138	3324	248
3327	3583	0	3348	3331	252
3583	3583	0	3552	3338	254
3839	3583	0	3760	3345	257
4095	3583	0	3961	3352	258
0	3839	0	664	3470	219
256	3839	0	874	3478	222
512	3839	0	1081	3485	227
768	3839	0	1289	3492	231
1024	3839	0	1498	3499	233
1280	3839	0	1707	3507	237
1536	3839	0	1916	3515	241
1792	3839	0	2136	3522	244
2048	3839	0	2360	3529	248
2303	3839	0	2558	3537	252
2559	3839	0	2764	3544	255
2815	3839	0	2972	3551	259
3071	3839	0	3181	3558	262
3327	3839	0	3390	3566	266
3583	3839	0	3595	3572	269
3839	3839	0	3803	3579	271
4095	3839	0	4003	3586	272
0	4095	0	707	3703	233
256	4095	0	916	3710	237
512	4095	0	1124	3717	240
768	4095	0	1332	3725	243
1024	4095	0	1542	3731	247
1280	4095	0	1750	3739	250
1536	4095	0	1960	3747	254
1792	4095	0	2184	3754	258
2048	4095	0	2401	3760	262
2303	4095	0	2600	3767	266
2559	4095	0	2807	3775	269
2815	4095	0	3015	3781	272
3071	4095	0	3226	3788	275
3327	4095	0	3433	3796	279
3583	4095	0	3639	3803	283
3839	4095	0	3844	3809	286
4095	4095	0	4044	3815	286
0	0	256	3	4	209
256	0	256	215	11	213
512	0	256	429	18	216
768	0	256	640	26	220
1024	0	256	848	34	224
1280	0	256	1057	41	227
1536	0	256	1262	49	230
1792	0	256	1473	57	234
2048	0	256	1681	65	237
2303	0	256	1889	72	240
2559	0	256	2103	80	244
2815	0	256	2334	88	247
3071	0	256	2530	96	251
3327	0	256	2736	104	254
3583	0	256	2943	111	258
3839	0	256	3153	119	261
4095	0	256	3362	126	265
0	256	256	47	235	224
256	256	256	259	243	227
512	256	256	474	251	230
768	256	256	683	259	233
1024	256	256	892	267	237
1280	256	256	1099	274	241
1536	256	256	1307	282	244
1792	256	256	1517	288	247
2048	256	256	1725	295	250
2303	256	256	1932	303	253
2559	256	256	2153	309	258
2815	256	256	2375	317	262
3071	256	256	2574	324	266
3327	256	256	2780	332	268
3583	256	256	2988	338	272
3839	256	256	3197	346	275
4095	256	256	3406	354	278
0	512	256	92	466	238
256	512	256	305	471	241
512	512	256	519	479	244
768	512	256	727	486	247
1024	512	256	937	494	251
1280	512	256	1144	502	255
1536	512	256	1352	509	259
1792	512	256	1562	517	262
2048	512	256	1770	524	265
2303	512	256	1978	531	268
2559	512	256	2203	539	273
2815	512	256	2418	545	276
3071	512	256	2617	553	279
3327	512	256	2826	561	282
3583	512	256	3033	568	285
